"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","50","247259","0.0-49.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","51","254261","0.0-50.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","[800,800,800,800,800,800]","test","8,4,9,6,3,6","6","","","","",""
"","6823","","6823","500","response","single-stim-button","52","261086","0.0-51.0","digit-span","true","0","","","","6823","","","","test","8,4,9,6,3,6","6","SubmitButton","9,8,4,6,3,6","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","53","262588","0.0-52.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","54","264589","0.0-53.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","55","271592","0.0-54.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","[800,800,800,800,800,800]","test","5,8,5,8,3,7","6","","","","",""
"","4518","","4518","500","response","single-stim-button","56","276110","0.0-55.0","digit-span","true","0","","","","4518","","","","test","5,8,5,8,3,7","6","SubmitButton","5,8,5,8,3,7","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","57","277612","0.0-56.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"<div class = centerbox><p class = block-text>In these next trials, instead of reporting back the sequence you just saw, report the <strong>reverse</strong> of that sequence. So the last item should be first in your response, the second to last should be the second in your response, etc...</p><p class = block-text>Press <strong>enter</strong> to begin.</p></div>","12341","13","12341","1000","start_reverse","poldrack-text","58","290954","0.0-58.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","59","292956","0.0-59.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","60","296958","0.0-60.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","[800,800,800]","test","8,1,6","3","","","","",""
"","3896","","3896","500","response","single-stim-button","61","300854","0.0-61.0","digit-span","true","0","","","","3896","","","","test","8,1,6","3","SubmitButton","6,1,8","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","62","302355","0.0-62.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","63","304356","0.0-63.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","64","309358","0.0-64.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800]","test","4,8,3,8","4","","","","",""
"","6391","","6391","500","response","single-stim-button","65","315749","0.0-65.0","digit-span","true","0","","","","6391","","","","test","4,8,3,8","4","SubmitButton","8,3,4,8","reverse","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","66","317251","0.0-66.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","67","319252","0.0-67.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","68","324253","0.0-68.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","[800,800,800,800]","test","7,3,7,3","4","","","","",""
"","5608","","5608","500","response","single-stim-button","69","329862","0.0-69.0","digit-span","true","0","","","","5608","","","","test","7,3,7,3","4","SubmitButton","3,7,3,7","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","70","331364","0.0-70.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","71","333365","0.0-71.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","72","339365","0.0-72.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800,800]","test","6,9,3,6,2","5","","","","",""
"","7368","","7368","500","response","single-stim-button","73","346733","0.0-73.0","digit-span","true","0","","","","7368","","","","test","6,9,3,6,2","5","SubmitButton","2,6,9,6,3","reverse","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","74","348235","0.0-74.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","75","350236","0.0-75.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","76","355237","0.0-76.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800]","test","7,4,8,1","4","","","","",""
"","4248","","4248","500","response","single-stim-button","77","359486","0.0-77.0","digit-span","true","0","","","","4248","","","","test","7,4,8,1","4","SubmitButton","1,8,4,7","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","78","360987","0.0-78.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","79","362989","0.0-79.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","80","368991","0.0-80.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800,800]","test","8,5,2,7,1","5","","","","",""
"","26022","","26022","500","response","single-stim-button","81","395014","0.0-81.0","digit-span","true","0","","","","26022","","","","test","8,5,2,7,1","5","SubmitButton","1,7,2,5,8","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","82","396516","0.0-82.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","83","398516","0.0-83.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","84","405518","0.0-84.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800,800,800]","test","8,2,9,6,3,8","6","","","","",""
"","20512","","20512","500","response","single-stim-button","85","426031","0.0-85.0","digit-span","true","0","","","","20512","","","","test","8,2,9,6,3,8","6","SubmitButton","6,3,9,2,8,6","reverse","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","86","427532","0.0-86.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","87","429532","0.0-87.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","88","436534","0.0-88.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800,800,800]","test","5,9,1,8,5,1","6","","","","",""
"","18206","","18206","500","response","single-stim-button","89","454741","0.0-89.0","digit-span","true","0","","","","18206","","","","test","5,9,1,8,5,1","6","SubmitButton","1,5,8,1,5,9","reverse","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","90","456243","0.0-90.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","91","458244","0.0-91.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","92","464245","0.0-92.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800,800]","test","3,9,1,5,2","5","","","","",""
"","14640","","14640","500","response","single-stim-button","93","478885","0.0-93.0","digit-span","true","0","","","","14640","","","","test","3,9,1,5,2","5","SubmitButton","3,1,5,9,2","reverse","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","94","480387","0.0-94.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","95","482388","0.0-95.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","96","488389","0.0-96.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800,800]","test","6,9,3,8,2","5","","","","",""
"","10672","","10672","500","response","single-stim-button","97","499062","0.0-97.0","digit-span","true","0","","","","10672","","","","test","6,9,3,8,2","5","SubmitButton","2,8,3,9,6","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","98","500563","0.0-98.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","99","502564","0.0-99.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","100","509566","0.0-100.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","[800,800,800,800,800,800]","test","3,9,5,1,7,4","6","","","","",""
