block_num,con_num,trial,free_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win
6,2,36,0,1,1,8,5,0.46,0
6,2,37,0,1,1,8,3,0.43,1
6,2,38,0,1,1,8,2,0.57,1
6,2,39,0,1,1,8,0,0,0
7,5,1,1,0,1,4,2,0.6,0
7,5,2,1,0,1,4,1,0.53,0
7,5,3,1,0,1,4,4,0.47,0
7,5,4,1,0,1,4,2,0.6,1
7,5,5,0,0,1,4,4,0.47,1
7,5,6,0,0,1,4,4,0.47,0
7,5,7,0,0,1,4,3,0.4,1
7,5,8,0,0,1,4,3,0.4,0
7,5,9,0,0,1,4,2,0.6,0
7,5,10,0,0,1,4,1,0.53,1
7,5,11,0,0,1,4,2,0.6,0
7,5,12,0,0,1,4,1,0.53,0
7,5,13,0,0,1,4,4,0.47,0
7,5,14,0,0,1,4,1,0.53,1
7,5,15,0,0,1,4,2,0.6,1
7,5,16,0,0,1,4,2,0.6,0
7,5,17,0,0,1,4,1,0.53,0
7,5,18,0,0,1,4,1,0.53,1
7,5,19,0,0,1,4,1,0.53,0
7,5,20,0,0,1,4,4,0.47,1
7,5,21,0,0,1,4,3,0.4,0
7,5,22,0,0,1,4,4,0.47,0
7,5,23,0,0,1,4,2,0.6,0
7,5,24,0,0,1,4,4,0.47,1
7,5,25,0,0,1,4,4,0.47,0
7,5,26,0,0,1,4,3,0.4,0
7,5,27,0,0,1,4,4,0.47,1
7,5,28,0,0,1,4,4,0.47,0
7,5,29,0,0,1,4,2,0.6,1
7,5,30,0,0,1,4,3,0.4,1
7,5,31,0,0,1,4,2,0.6,1
7,5,32,0,0,1,4,1,0.53,0
7,5,33,0,0,1,4,1,0.53,1
7,5,34,0,0,1,4,3,0.4,0
7,5,35,0,0,1,4,0,0,0
8,1,1,1,1,1,4,2,0.47,1
8,1,2,1,1,1,4,1,0.4,0
8,1,3,1,1,1,4,2,0.47,0
8,1,4,1,1,1,4,3,0.53,1
8,1,5,0,1,1,4,1,0.4,1
8,1,6,0,1,1,4,4,0.6,0
8,1,7,0,1,1,4,3,0.53,0
8,1,8,0,1,1,4,1,0.4,1
8,1,9,0,1,1,4,1,0.4,1
8,1,10,0,1,1,4,4,0.6,0
8,1,11,0,1,1,4,1,0.4,0
8,1,12,0,1,1,4,1,0.4,1
8,1,13,0,1,1,4,1,0.4,0
8,1,14,0,1,1,4,4,0.6,1
8,1,15,0,1,1,4,2,0.47,1
8,1,16,0,1,1,4,4,0.6,0
8,1,17,0,1,1,4,4,0.6,0
8,1,18,0,1,1,4,2,0.47,1
8,1,19,0,1,1,4,3,0.53,1
8,1,20,0,1,1,4,1,0.4,0
